"","id","ResourceID","GeoUnit","Geo","Period","Duration","Label1","Label2","Label3","Label4","Label5","Label6","Value","Unit","Measure","Multiplier","NullReason","Status"
"1","0b438d9f-6836-4271-aec9-8c096a2ea4f6","CPWEE1",NA,NA,"2011-01-09","P7D","Total",NA,NA,NA,NA,NA,564,"Number","Registered deaths",0,NA,NA
"2","72d2ab15-74e8-4986-9c8d-5cfeba31073c","CPWEE1",NA,NA,"2011-01-02","P7D","Total",NA,NA,NA,NA,NA,538,"Number","Registered deaths",0,NA,NA
"3","05e89ef2-c71c-482c-ada2-3d603816644f","CPWEE1",NA,NA,"2011-01-30","P7D","Total",NA,NA,NA,NA,NA,516,"Number","Registered deaths",0,NA,NA
"4","e822f6b2-2a24-4734-922d-0067b69c1012","CPWEE1",NA,NA,"2011-01-16","P7D","Total",NA,NA,NA,NA,NA,543,"Number","Registered deaths",0,NA,NA
"5","4c9b5a1b-5ed9-4d2f-bddd-2de3a1f500f0","CPWEE1",NA,NA,"2011-01-23","P7D","Total",NA,NA,NA,NA,NA,507,"Number","Registered deaths",0,NA,NA
"6","44b916a1-57c7-40df-aa2e-258f44613844","CPWEE1",NA,NA,"2011-03-20","P7D","Total",NA,NA,NA,NA,NA,553,"Number","Registered deaths",0,NA,NA
"7","ca2a3808-65e0-416a-8f42-17e6f6549a1a","CPWEE1",NA,NA,"2011-04-10","P7D","Total",NA,NA,NA,NA,NA,572,"Number","Registered deaths",0,NA,NA
"8","4061fcec-81cb-4034-b3fb-282bccb8b1e2","CPWEE1",NA,NA,"2011-02-06","P7D","Total",NA,NA,NA,NA,NA,585,"Number","Registered deaths",0,NA,NA
"9","1a01e28b-50ff-41eb-8fea-dde47ae341e0","CPWEE1",NA,NA,"2011-02-13","P7D","Total",NA,NA,NA,NA,NA,560,"Number","Registered deaths",0,NA,NA
"10","43847adf-f05b-4fc6-a1c6-baa6c9692240","CPWEE1",NA,NA,"2011-02-20","P7D","Total",NA,NA,NA,NA,NA,533,"Number","Registered deaths",0,NA,NA
"11","ea43b931-4af0-4a28-9f1a-161e440615ca","CPWEE1",NA,NA,"2011-02-27","P7D","Total",NA,NA,NA,NA,NA,677,"Number","Registered deaths",0,NA,NA
"12","8be946b6-24b0-40e3-a0a3-80d7a794d8b1","CPWEE1",NA,NA,"2011-03-06","P7D","Total",NA,NA,NA,NA,NA,513,"Number","Registered deaths",0,NA,NA
"13","e5b1ca9c-929a-475a-a115-2049f6579c9c","CPWEE1",NA,NA,"2011-03-13","P7D","Total",NA,NA,NA,NA,NA,523,"Number","Registered deaths",0,NA,NA
"14","0d7419c4-dcfe-45a7-a497-e4f7a4bd47b2","CPWEE1",NA,NA,"2011-03-27","P7D","Total",NA,NA,NA,NA,NA,523,"Number","Registered deaths",0,NA,NA
"15","14922783-ec75-427a-8df9-23f2b09b0781","CPWEE1",NA,NA,"2011-04-03","P7D","Total",NA,NA,NA,NA,NA,565,"Number","Registered deaths",0,NA,NA
"16","0b3f8d16-51d6-43fd-a238-772a108cdd83","CPWEE1",NA,NA,"2011-04-17","P7D","Total",NA,NA,NA,NA,NA,519,"Number","Registered deaths",0,NA,NA
"17","752f7c0b-ce11-4598-9c58-97968df6eda6","CPWEE1",NA,NA,"2011-04-24","P7D","Total",NA,NA,NA,NA,NA,569,"Number","Registered deaths",0,NA,NA
"18","c0c0a250-1ee6-4d26-a139-0bf8fefdd9b5","CPWEE1",NA,NA,"2011-05-01","P7D","Total",NA,NA,NA,NA,NA,564,"Number","Registered deaths",0,NA,NA
"19","2cc90b17-ec32-49d3-98ba-dc9e08cc1053","CPWEE1",NA,NA,"2011-05-08","P7D","Total",NA,NA,NA,NA,NA,602,"Number","Registered deaths",0,NA,NA
"20","52ce837e-c6e2-4d1f-bcec-6a3e0386ff9b","CPWEE1",NA,NA,"2011-05-15","P7D","Total",NA,NA,NA,NA,NA,566,"Number","Registered deaths",0,NA,NA
"21","3c47a945-9835-4bac-a95b-bf077c153ddf","CPWEE1",NA,NA,"2011-05-22","P7D","Total",NA,NA,NA,NA,NA,554,"Number","Registered deaths",0,NA,NA
"22","d0065662-335c-4f3a-bfea-f0e15dc46b3c","CPWEE1",NA,NA,"2011-05-29","P7D","Total",NA,NA,NA,NA,NA,575,"Number","Registered deaths",0,NA,NA
"23","f8788b36-bada-4f9e-b705-7088f748b5b1","CPWEE1",NA,NA,"2011-06-05","P7D","Total",NA,NA,NA,NA,NA,542,"Number","Registered deaths",0,NA,NA
"24","10fb7532-51cf-4df2-8e7d-45c75a9e6867","CPWEE1",NA,NA,"2011-06-12","P7D","Total",NA,NA,NA,NA,NA,562,"Number","Registered deaths",0,NA,NA
"25","10353042-8371-4f23-957f-ea5c221bfd2c","CPWEE1",NA,NA,"2011-07-03","P7D","Total",NA,NA,NA,NA,NA,601,"Number","Registered deaths",0,NA,NA
"26","3821e184-36b8-4b63-a294-30a2f2659504","CPWEE1",NA,NA,"2011-07-31","P7D","Total",NA,NA,NA,NA,NA,666,"Number","Registered deaths",0,NA,NA
"27","79d7a60e-17ca-46e1-a5db-3890a21b7d85","CPWEE1",NA,NA,"2011-08-07","P7D","Total",NA,NA,NA,NA,NA,667,"Number","Registered deaths",0,NA,NA
